user,password,nombre,descripcion      
usu1_1ESO,Zsxdcfv10*,Usuario de 1 de la ESO 
usu2_1ESO,Zsxdcfv10*,Usuario de 1 de la ESO 
usu1_2ESO,Zsxdcfv10*,Usuario de 2 de la ESO 
usu2_2ESO,Zsxdcfv10*,Usuario de 2 de la ESO 
usu1_3ESO,Zsxdcfv10*,Usuario de 3 de la ESO 
usu2_3ESO,Zsxdcfv10*,Usuario de 3 de la ESO 
usu1_4ESO,Zsxdcfv10*,Usuario de 4 de la ESO 
usu2_4ESO,Zsxdcfv10*,Usuario de 4 de la ESO 
usu1_1BATCH,Zsxdcfv10*,Usuario de 1 de la BATCH 
usu2_1BATCH,Zsxdcfv10*,Usuario de 1 de la BATCH 
usu1_2BATCH,Zsxdcfv10*,Usuario de 2 de la BATCH 
usu2_2BATCH,Zsxdcfv10*,Usuario de 2 de la BATCH 
usu1_1DAM,Zsxdcfv10*,Usuario de 1 de la DAM 
usu2_1DAM,Zsxdcfv10*,Usuario de 1 de la DAM 
usu1_2DAM,Zsxdcfv10*,Usuario de 2 de la DAM 
usu2_2DAM,Zsxdcfv10*,Usuario de 2 de la DAM 
alumnado,Zsxdcfv10*,Usuario de alumnado
profesorado,Zsxdcfv10*,Usuario de profesorado
